"Age","MeanDNE.Apex","MedianDNE.Apex","IQRDNE.Apex","TotalDNE.TotalPolygonFaces","MedianDNE.Whole","IQRDNE.Whole","MeanDNE.Convex","MeanDNE.Concave","Proportion.DNEunder0.0001","Proportion.DNEover0.6","PCQDA_Estimated","PCR_pred","PCLR_pred"
87,0.034966,0.014415,0.029493,0.025351,0.007946,0.024197,0.022692,0.023425,0.002478,0.001938,2,48.51221584,1
52,0.025777,0.006913,0.021764,0.020705,0.00583,0.026544,0.016216,0.017219,0.008685,0.001345,2,53.17922383,1
32,0.017338,0.004134,0.016453,0.01121,0.004149,0.009688,0.016815,0.015145,0.007301,0.00068,2,55.26366747,1
44,0.017798,0.016589,0.023,0.019831,0.004856,0.017539,0.017502,0.015755,0.004339,0.000561,3,80.26721973,2
64,0.03518,0.010195,0.029732,0.021342,0.012693,0.021298,0.024098,0.018405,0.002419,0.002145,3,63.05218514,2
51,0.041574,0.015113,0.04094,0.022602,0.007005,0.020639,0.015333,0.018113,0.006594,0.002249,2,59.56757177,1
66,0.041098,0.02196,0.043366,0.023498,0.015057,0.023521,0.019961,0.01889,0.002912,0.002418,3,60.66942622,1
40,0.034556,0.010131,0.027326,0.020383,0.004382,0.011297,0.012373,0.02586,0.005722,0.001059,3,58.94449451,1
51,0.043811,0.00639,0.024488,0.018017,0.006661,0.018843,0.016395,0.014323,0.004789,0.001618,2,60.20312546,1
48,0.033335,0.009105,0.024195,0.021183,0.005509,0.014927,0.015536,0.021688,0.007821,0.001499,3,73.54661456,2
91,0.064991,0.017244,0.027651,0.026846,0.017589,0.024871,0.024348,0.039702,0.002073,0.003586,3,60.62103606,1
43,0.031196,0.011098,0.022612,0.022417,0.004506,0.010825,0.021875,0.015827,0.00419,0.002618,3,72.67946343,2
59,0.021556,0.011645,0.020302,0.032485,0.010032,0.026439,0.019014,0.025289,0.006508,0.002309,2,56.75434013,1
